航班号,sequenceNo,marketAirlineCode,航空公司,出发国家,departureProvinceId,departureCityId,departureCityCode,出发城市,出发机场三字码,出发机场,departureAirportShortName,departureTerminal,到达国家,arrivalProvinceId,arrivalCityId,arrivalCityCode,到达城市,到达机场三字码,到达机场,arrivalAirportShortName,arrivalTerminal,飞行时长,transferDuration,stopList,飞机型号三字码,飞机型号,飞机尺寸,departureDateTime,arrivalDateTime,leakedVisaTagSwitch,trafficType,mealType,到达准点率,highLightPlaneNo,停留次数,istTransitService,中转信息,出发日期,出发时间,到达日期,到达时间,operateAirlineCode,operateAirlineName,operateFlightNo,economy_origin,economy_tax,economy_total,economy_full,bussiness_origin,bussiness_tax,bussiness_total,bussiness_full,数据获取日期,出发延误时间,出发廊桥率,到达延误时间,飞机类型,飞机宽度,飞机机龄,经济舱是否有餐食,经济舱座椅倾斜度,经济舱座椅宽度,经济舱座椅间距,经济舱餐食信息,经济舱电源,商务舱是否有餐食,商务舱座椅倾斜度,商务舱座椅宽度,商务舱座椅间距,商务舱餐食信息,商务舱电源
FM9459,1,FM,上海航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73E,波音738(中),M,2025-06-03 21:40:00,2025-06-04 00:30:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:40:00,2025-06-04,00:30:00,,,,443.0,0.0,443.0,0,1452,0,1452,0,2025-05-29,,,,,,,,,,,,,,,,,,
FM9467,1,FM,上海航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,195,0,[],73M,波音737(中),M,2025-06-03 15:50:00,2025-06-03 19:05:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,15:50:00,2025-06-03,19:05:00,,,,568.0,0.0,568.0,0,1654,0,1654,0,2025-05-29,,,,,,,,,,,,,,,,,,
FM9457,1,FM,上海航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,165,0,[],738,波音737(中),M,2025-06-03 11:55:00,2025-06-03 14:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:55:00,2025-06-03,14:40:00,,,,697.0,0.0,697.0,0,1755,0,1755,0,2025-05-29,,,,,,,,,,,,,,,,,,
Y87509,1,Y8,海航旗下金鹏航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T2,170,0,[],738,波音737(中),M,2025-06-03 08:30:00,2025-06-03 11:20:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,08:30:00,2025-06-03,11:20:00,,,,480.0,0.0,480.0,0,1220,0,1220,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ8264,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73H,波音737(中),M,2025-06-03 22:00:00,2025-06-04 00:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,22:00:00,2025-06-04,00:50:00,,,,530.0,0.0,530.0,0,1690,0,1690,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ126,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ086,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ136,1,CZ,南方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,960.0,0.0,960.0,0,3720,0,3720,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ3652,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,185,0,[],732,波音737(中),M,2025-06-03 12:10:00,2025-06-03 15:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,12:10:00,2025-06-03,15:15:00,,,,770.0,0.0,770.0,0,1860,0,1860,0,2025-05-29,,,,,,,,,,,,,,,,,,
CZ6352,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,180,0,[],73X,波音737(中),M,2025-06-03 19:55:00,2025-06-03 22:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,19:55:00,2025-06-03,22:55:00,,,,460.0,0.0,460.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
CZ3658,1,CZ,南方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],73H,波音737(中),M,2025-06-03 13:55:00,2025-06-03 16:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,13:55:00,2025-06-03,16:50:00,,,,530.0,0.0,530.0,0,2050,0,2050,0,2025-05-29,,,,,,,,,,,,,,,,,,
G58114,1,G5,华夏航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],320,空客320(中),M,2025-06-03 21:50:00,2025-06-04 00:45:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:50:00,2025-06-04,00:45:00,CA,中国国航,CA4224,850.0,0.0,850.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
SC5288,1,SC,山东航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],320,空客320(中),M,2025-06-03 21:50:00,2025-06-04 00:45:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:50:00,2025-06-04,00:45:00,CA,中国国航,CA4224,850.0,0.0,850.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U1264,1,3U,四川航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,185,0,[],732,波音737(中),M,2025-06-03 12:10:00,2025-06-03 15:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,12:10:00,2025-06-03,15:15:00,CZ,南方航空,CZ3652,860.0,0.0,860.0,0,2780,0,2780,0,2025-05-29,,,,,,,,,,,,,,,,,,
3U4437,1,3U,四川航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U4403,1,3U,四川航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U1936,1,3U,四川航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73H,波音737(中),M,2025-06-03 22:00:00,2025-06-04 00:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,22:00:00,2025-06-04,00:50:00,CZ,南方航空,CZ8264,580.0,0.0,580.0,0,2780,0,2780,0,2025-05-29,,,,,,,,,,,,,,,,,,
3U1584,1,3U,四川航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,180,0,[],73X,波音737(中),M,2025-06-03 19:55:00,2025-06-03 22:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,19:55:00,2025-06-03,22:55:00,CZ,南方航空,CZ6352,580.0,0.0,580.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U4431,1,3U,四川航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U5223,1,3U,四川航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,145,0,[],325,空客321(中),M,2025-06-03 17:15:00,2025-06-03 19:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,17:15:00,2025-06-03,19:40:00,MU,东方航空,MU5445,850.0,0.0,850.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
3U1268,1,3U,四川航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],73H,波音737(中),M,2025-06-03 13:55:00,2025-06-03 16:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,13:55:00,2025-06-03,16:50:00,CZ,南方航空,CZ3658,580.0,0.0,580.0,0,2780,0,2780,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO1221,1,HO,吉祥航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,,,,692.0,0.0,692.0,0,1422,0,1422,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO7646,1,HO,吉祥航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73H,波音737(中),M,2025-06-03 22:00:00,2025-06-04 00:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,22:00:00,2025-06-04,00:50:00,CZ,南方航空,CZ8264,1050.0,0.0,1050.0,0,2810,0,2810,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO5505,1,HO,吉祥航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,145,0,[],325,空客321(中),M,2025-06-03 17:15:00,2025-06-03 19:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,17:15:00,2025-06-03,19:40:00,MU,东方航空,MU5445,1010.0,0.0,1010.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
HO7548,1,HO,吉祥航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,180,0,[],73X,波音737(中),M,2025-06-03 19:55:00,2025-06-03 22:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,19:55:00,2025-06-03,22:55:00,CZ,南方航空,CZ6352,1050.0,0.0,1050.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
HO1141,1,HO,吉祥航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,,,,393.0,0.0,393.0,0,1282,0,1282,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO1209,1,HO,吉祥航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,,,,722.0,0.0,722.0,0,2422,0,2422,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO7460,1,HO,吉祥航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,185,0,[],732,波音737(中),M,2025-06-03 12:10:00,2025-06-03 15:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,12:10:00,2025-06-03,15:15:00,CZ,南方航空,CZ3652,1330.0,0.0,1330.0,0,2810,0,2810,0,2025-05-29,,,,,,,,,,,,,,,,,,
HO7462,1,HO,吉祥航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],73H,波音737(中),M,2025-06-03 13:55:00,2025-06-03 16:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,13:55:00,2025-06-03,16:50:00,CZ,南方航空,CZ3658,1050.0,0.0,1050.0,0,2810,0,2810,0,2025-05-29,,,,,,,,,,,,,,,,,,
MU8515,1,MU,东方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,195,0,[],73M,波音737(中),M,2025-06-03 15:50:00,2025-06-03 19:05:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,15:50:00,2025-06-03,19:05:00,FM,上海航空,FM9467,850.0,0.0,850.0,0,1724,0,1724,0,2025-05-29,,,,,,,,,,,,,,,,,,
MU5499,1,MU,东方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32N,空客320(中),M,2025-06-03 06:45:00,2025-06-03 09:35:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,06:45:00,2025-06-03,09:35:00,,,,518.0,0.0,518.0,0,1502,0,1502,0,2025-05-29,,,,,,,,,,,,,,,,,,
MU3688,1,MU,东方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MU5445,1,MU,东方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,145,0,[],325,空客321(中),M,2025-06-03 17:15:00,2025-06-03 19:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,17:15:00,2025-06-03,19:40:00,,,,644.0,0.0,644.0,0,1835,0,1835,0,2025-05-29,,,,,,,,,,,,,,,,,,
MU3634,1,MU,东方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MU8509,1,MU,东方航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73E,波音738(中),M,2025-06-03 21:40:00,2025-06-04 00:30:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:40:00,2025-06-04,00:30:00,FM,上海航空,FM9459,850.0,0.0,850.0,0,1502,0,1502,0,2025-05-29,,,,,,,,,,,,,,,,,,
MU3672,1,MU,东方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,910.0,0.0,910.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MU8507,1,MU,东方航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,165,0,[],738,波音737(中),M,2025-06-03 11:55:00,2025-06-03 14:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:55:00,2025-06-03,14:40:00,FM,上海航空,FM9457,850.0,0.0,850.0,0,1835,0,1835,0,2025-05-29,,,,,,,,,,,,,,,,,,
MF4028,1,MF,厦门航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,180,0,[],73X,波音737(中),M,2025-06-03 19:55:00,2025-06-03 22:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,19:55:00,2025-06-03,22:55:00,CZ,南方航空,CZ6352,580.0,0.0,580.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF3774,1,MF,厦门航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,145,0,[],325,空客321(中),M,2025-06-03 17:15:00,2025-06-03 19:40:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,17:15:00,2025-06-03,19:40:00,MU,东方航空,MU5445,1040.0,0.0,1040.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF1442,1,MF,厦门航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,185,0,[],732,波音737(中),M,2025-06-03 12:10:00,2025-06-03 15:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,12:10:00,2025-06-03,15:15:00,CZ,南方航空,CZ3652,860.0,0.0,860.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF7688,1,MF,厦门航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,1040.0,0.0,1040.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF7634,1,MF,厦门航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,1040.0,0.0,1040.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF3804,1,MF,厦门航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32N,空客320(中),M,2025-06-03 06:45:00,2025-06-03 09:35:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,06:45:00,2025-06-03,09:35:00,MU,东方航空,MU5499,1040.0,0.0,1040.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF1448,1,MF,厦门航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],73H,波音737(中),M,2025-06-03 13:55:00,2025-06-03 16:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,13:55:00,2025-06-03,16:50:00,CZ,南方航空,CZ3658,580.0,0.0,580.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF7672,1,MF,厦门航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,1040.0,0.0,1040.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
MF4512,1,MF,厦门航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],73H,波音737(中),M,2025-06-03 22:00:00,2025-06-04 00:50:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,22:00:00,2025-06-04,00:50:00,CZ,南方航空,CZ8264,580.0,0.0,580.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
CA4224,1,CA,中国国航,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],320,空客320(中),M,2025-06-03 21:50:00,2025-06-04 00:45:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:50:00,2025-06-04,00:45:00,,,,390.0,0.0,390.0,0,580,0,580,0,2025-05-29,,,,,,,,,,,,,,,,,,
CA3267,1,CA,中国国航,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,1240.0,0.0,1240.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
ZH5073,1,ZH,深圳航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 11:25:00,2025-06-03 14:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,11:25:00,2025-06-03,14:15:00,HO,吉祥航空,HO1209,1070.0,0.0,1070.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
ZH4376,1,ZH,深圳航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],320,空客320(中),M,2025-06-03 21:50:00,2025-06-04 00:45:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,21:50:00,2025-06-04,00:45:00,CA,中国国航,CA4224,850.0,0.0,850.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
ZH5089,1,ZH,深圳航空,中国,0,2,SHA,上海,PVG,浦东国际机场,浦东,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,170,0,[],32A,空客321(中),M,2025-06-03 20:45:00,2025-06-03 23:35:00,False,FLIGHT,SNACK,-,False,0,False,无中转,2025-06-03,20:45:00,2025-06-03,23:35:00,HO,吉祥航空,HO1141,1070.0,0.0,1070.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
ZH5035,1,ZH,深圳航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T2,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T3,175,0,[],32A,空客321(中),M,2025-06-03 07:20:00,2025-06-03 10:15:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:20:00,2025-06-03,10:15:00,HO,吉祥航空,HO1221,1070.0,0.0,1070.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
9C8885,1,9C,春秋航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T2,165,0,[],321,空客321(中),M,2025-06-03 17:10:00,2025-06-03 19:55:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,17:10:00,2025-06-03,19:55:00,,,,479.0,0.0,479.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
9C7117,1,9C,春秋航空,中国,0,2,SHA,上海,SHA,虹桥国际机场,虹桥,T1,中国,0,38,KWE,贵阳,KWE,龙洞堡国际机场,龙洞堡,T2,180,0,[],320,空客320(中),M,2025-06-03 07:05:00,2025-06-03 10:05:00,False,FLIGHT,NONE,-,False,0,False,无中转,2025-06-03,07:05:00,2025-06-03,10:05:00,,,,509.0,0.0,509.0,0,,,,,2025-05-29,,,,,,,,,,,,,,,,,,
